"id","fulfilment_supplier_id","code","name_en","name_cn"
"1","1","FEDEX","FedEx",
"2","1","UPS","UPS",
"3","1","DHL","DHL",
"5","1","DPD","DPD",
"6","1","USPS","USPS",
"7","1","LSO","LSO",
"8","1","GLS","GLS",
"9","1","ATS","ATS",
"10","1","WAYFAIRUK","Wayfair UK",
"11","1","AMAZONSHIPPING","Amazon Shipping",
"12","1","YANWEN","YanWen",
"13","2","DHL","DHL",
"14","2","DPD","DPD",
"15","2","UPS","UPS",
"16","2","GLS","GLS",
"17","3","DPD","DPD",
"18","3","DHL","DHL",
"19","3","UPS","UPS",
"20","3","XDP","XDP",
"21","3","EVRI","Evri",
"22","3","WAYFAIRUK","Wayfair UK",
"23","3","YODEL","Yodel",
"24","4","GLS","GLS",
"25","5","DHL","DHL",
"26","5","DPD","DPD",
"27","5","GLS","GLS",
"28","6","CTT","CTT",
"29","6","SEUR","SEUR",
"30","6","GLS","GLS",
"31","6","BRT","BRT",
"32","6","TNT","TNT",
"33","7","BRT","BRT",
"34","7","UPS","UPS",
"35","7","DHL","DHL",
"36","8","CHRONOPOST","Chronopost",
"37","8","GLS","GLS",
"38","8","DPD","DPD",
"39","8","GEODIS","Geodis",
"40","9","UNKNOWN","Unknown Carrier",
"41","9","XDP","XDP",
"42","9","EVRI","Evri",
"43","9","WAYFAIR","Wayfair",
"44","9","YODEL","Yodel",
"45","9","DHL","DHL",
"46","9","DPD","DPD",
"47","9","DX","DX",
"48","9","PARCELFORCE","Parcelforce",
"49","9","GLS","GLS",
